consumer_id,observation_start,observation_end,primary_platform,region,device_type,source_count,ecommerce_events,marketing_events,search_platform_events,social_events,session_count,active_days,total_interactions,searches,unique_search_terms,product_views,product_clicks,add_to_cart,wishlist_adds,purchases,total_spend,average_order_value,product_diversity,category_diversity,recency_days,repeat_purchase_rate,engagement_events,content_views,content_likes,content_saves,content_shares,ad_impressions,ad_clicks,ad_ctr,email_opens,email_clicks,campaign_engagements,campaign_conversions,campaign_conversion_rate,search_frequency_per_day,engagement_frequency_per_day,repeat_search_rate,commercial_intent_score,cross_category_interactions,social_engagements,text_topic_events,interest_term_count,visual_events,visual_object_detections,fitness_score,wellness_score,technology_score,fashion_score,travel_score,learning_score,entertainment_score,food_score,home_score,finance_score,dominant_behavioral_domain,identity_orientation_ground_truth,identity_strength_ground_truth,emerging_identity_ground_truth,identity_change_score_ground_truth,future_need_category_ground_truth,future_purchase_probability_ground_truth,future_purchase_30d_ground_truth,future_purchase_value_ground_truth
C00001,2026-05-01,2026-06-29,Search,West,Desktop,2,12,5,0,7,12,5,24,0,0,8,4,1,0,0,0.0,0.0,7,5,17,0.0,0,6,1,0,1,8,0,0.0,1,0,1,0,0.0,0.0,0.0,0.0,1.0,13,2,1,6,0,0,73.59,76.62,32.35,24.51,24.43,34.02,27.0,53.26,32.54,32.47,Wellness,Health-Conscious Lifestyle Adopter,72.0,Balanced Multi-Interest Consumer,41.1,Lifestyle & Personal Development,0.4503,0,0.0
C00002,2026-05-01,2026-06-29,Search,South,Mobile,3,12,6,1,3,7,8,22,6,3,11,6,2,0,1,197.65,197.65,7,3,4,0.0,1,7,2,2,0,60,2,0.0333,3,1,5,0,0.0,0.75,0.12,0.0,0.735,4,5,3,5,0,0,25.69,8.05,23.57,35.74,42.18,17.21,90.67,35.26,32.75,26.03,Entertainment,Entertainment & Social Experience Seeker,67.6,Entertainment & Social Experience Seeker,0.0,Entertainment & Experiences,0.4428,0,0.0
C00003,2026-05-01,2026-06-29,E-commerce,West,Mobile,4,122,36,8,27,43,19,193,37,21,81,37,13,1,4,580.6,145.15,13,4,1,0.724,52,33,6,3,0,6,0,0.0,0,0,6,0,0.0,1.95,2.74,0.648,0.724,13,6,3,5,4,11,39.44,67.12,13.52,32.19,24.33,34.43,17.11,68.19,59.5,16.3,Food,Food & Wellness Explorer,75.3,Home & Lifestyle Optimizer,44.5,Home & Lifestyle,0.4683,1,230.85
C00004,2026-05-01,2026-06-29,Search,West,Desktop,4,60,23,22,20,32,11,125,22,12,50,21,7,2,2,408.88,204.44,11,3,12,0.559,31,24,5,2,1,50,2,0.04,5,2,9,1,0.1111,2.0,2.82,0.567,0.708,6,3,2,5,2,5,26.14,32.64,22.65,83.78,36.25,39.76,42.68,26.55,22.86,28.33,Fashion,Fashion & Lifestyle Explorer,70.9,Travel & Adventure Explorer,47.9,Travel & Experiences,0.6551,1,318.6
C00005,2026-05-01,2026-06-29,Search,East,Mobile,3,7,3,4,6,7,2,20,6,3,17,8,3,0,1,197.94,197.94,10,4,13,0.0,0,6,1,0,1,10,1,0.1,1,0,2,0,0.0,3.0,0.0,0.0,0.845,12,2,1,5,0,0,35.9,16.11,25.37,95.94,39.08,10.65,46.25,23.78,31.46,16.99,Fashion,Fashion & Lifestyle Explorer,72.7,Fashion & Lifestyle Explorer,2.0,Fashion & Lifestyle,0.4617,1,290.79
C00006,2026-05-01,2026-06-29,Search,South,Desktop,4,66,16,19,27,29,11,128,33,19,51,25,8,2,3,690.79,230.26,7,4,15,0.598,34,23,5,2,2,57,3,0.0526,2,1,9,1,0.1111,3.0,3.09,0.797,0.622,7,6,3,5,0,0,18.1,20.68,62.05,20.19,8.02,49.54,14.83,18.13,35.56,99.07,Finance,Finance-Aware Planner,80.2,Finance-Aware Planner,1.8,Finance & Planning,0.3618,0,0.0
C00007,2026-05-01,2026-06-29,Social,North,Desktop,3,39,10,28,14,22,3,91,14,8,38,18,7,1,3,686.45,228.82,9,5,6,0.709,25,15,5,2,1,8,1,0.125,0,0,6,1,0.1667,4.67,8.33,0.334,0.872,16,2,1,6,1,3,100.0,91.0,30.34,22.33,22.97,16.49,15.61,66.4,30.01,35.14,Fitness,Health-Conscious Lifestyle Adopter,79.0,Health-Conscious Lifestyle Adopter,3.8,Fitness & Wellness,0.7122,1,387.97
C00008,2026-05-01,2026-06-29,Social,West,Mobile,4,639,294,0,325,58,33,1096,224,134,458,255,85,15,31,5986.12,193.1,18,5,10,0.939,321,228,62,30,12,97,6,0.0619,13,4,72,6,0.0833,6.79,9.73,0.897,0.824,10,15,9,4,3,9,60.3,70.09,27.96,27.54,35.27,22.13,10.67,93.68,38.99,19.09,Food,Food & Wellness Explorer,70.3,Food & Wellness Explorer,1.1,Food & Nutrition,0.3139,0,0.0
C00009,2026-05-01,2026-06-29,E-commerce,West,Mobile,4,11,4,0,3,8,2,18,0,0,6,3,1,0,0,0.0,0.0,7,4,12,0.0,0,0,0,0,0,8,0,0.0,2,1,1,0,0.0,0.0,0.0,0.0,1.0,14,1,1,5,1,3,10.69,34.5,47.79,22.47,8.43,84.75,29.51,29.3,23.14,59.32,Learning,Learning-Oriented Explorer,75.3,Finance-Aware Planner,38.6,Finance & Planning,0.3605,1,161.25
C00010,2026-05-01,2026-06-29,Search,Central,Mobile,3,200,75,129,47,70,26,451,87,52,185,101,38,7,16,3370.79,210.67,13,5,8,0.924,135,92,24,12,6,33,2,0.0606,4,1,27,2,0.0741,3.35,5.19,0.834,0.784,14,4,2,8,1,3,100.0,93.82,32.28,21.36,17.82,30.66,10.81,71.79,29.67,19.77,Fitness,Health-Conscious Lifestyle Adopter,82.2,Health-Conscious Lifestyle Adopter,0.0,Fitness & Wellness,0.6729,1,458.18
C00011,2026-05-01,2026-06-29,E-commerce,West,Mobile,4,20,9,0,11,11,8,39,5,3,20,9,3,1,1,138.27,138.27,8,4,7,0.0,13,15,4,1,0,5,0,0.0,2,1,5,0,0.0,0.62,1.62,0.0,0.954,12,4,2,5,1,3,29.31,28.01,40.12,31.67,25.07,34.37,27.87,30.42,60.94,71.48,Finance,Home & Lifestyle Optimizer,78.0,Finance-Aware Planner,49.6,Finance & Planning,0.5324,1,230.48
C00012,2026-05-01,2026-06-29,E-commerce,West,Mobile,3,110,51,0,29,25,5,177,27,16,62,26,8,0,2,360.48,180.24,13,5,7,0.451,39,25,4,2,1,103,4,0.0388,5,1,9,1,0.1111,5.4,7.8,0.557,0.707,15,10,5,4,0,0,30.07,29.86,55.01,39.1,40.91,60.5,42.51,35.21,33.43,41.13,Learning,Balanced Multi-Interest Consumer,75.8,Learning-Oriented Explorer,30.4,Learning & Education,0.5256,0,0.0
C00013,2026-05-01,2026-06-29,Search,West,Mobile,3,76,26,30,29,27,19,161,34,19,54,24,8,1,2,586.62,293.31,11,3,9,0.538,38,29,9,3,2,20,1,0.05,1,0,10,1,0.1,1.79,2.0,0.662,0.619,5,3,2,5,1,3,31.19,19.4,30.01,46.73,46.77,16.84,78.26,40.19,26.65,26.79,Entertainment,Entertainment & Social Experience Seeker,83.5,Balanced Multi-Interest Consumer,34.3,Lifestyle & Personal Development,0.3863,0,0.0
